"","Nonpeptidergic.Nociceptor_1","Nonpeptidergic.Nociceptor_2","Nonpeptidergic.Nociceptor_3","Peptidergic.Nociceptor_1","Peptidergic.Nociceptor_2","Peptidergic.Nociceptor_3","C.LTMR_1","C.LTMR_2","C.LTMR_3","A�..LTMR_1","A�..LTMR_2","A�..LTMR_3","Aβ.RA.LTMR_4","Aβ.RA.LTMR_5","Aβ.RA.LTMR_1","Aβ.RA.LTMR_2","Aβ.RA.LTMR_3","Aβ.SA1.LTMR_1","Aβ.SA1.LTMR_2","Aβ.SA1.LTMR_3","Aβ.Field.LTMR_1","Aβ.Field.LTMR_2","Aβ.Field.LTMR_3","Proprioceptor_1","Proprioceptor_2","Proprioceptor_3"
"ENSMUSG00000096860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052005",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000082494",14,2,4,19,6,16,9,8,4,5,3,4,1,0,11,6,15,0,22,59,22,1,11,0,20,16
"ENSMUSG00000084640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030203",405,275,672,1514,1195,1163,368,534,952,577,300,445,344,578,863,633,758,335,682,663,418,97,283,337,862,998
"ENSMUSG00000065409",0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048824",0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"ENSMUSG00000084421",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0
"ENSMUSG00000079998",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"ENSMUSG00000077517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
